id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,room_type_id,location_id
1.03e+18,Rental unit in Queens · ★4.70 · 1 bedroom · 1 bed · 1 bath,231138233,Filiz,Queens,Ridgewood,40.70427872,-73.89963939,Private room,53.0,1,10,2024-01-29,4.35,7,12,10,Exempt,1,1
9.85e+17,Rental unit in Queens · ★4.80 · 1 bedroom · 1 bed · 1 bath,231138233,Filiz,Queens,Ridgewood,40.7053973,-73.8984818,Private room,66.0,1,15,2024-01-31,3.81,7,11,15,Exempt,1,1
35496842.0,Rental unit in The Bronx · ★4.20 · 1 bedroom · 1 bed · 1 bath,127836236,Segun,Bronx,Williamsbridge,40.88151,-73.8494,Entire home/apt,76.0,30,71,2024-01-05,1.26,1,338,11,,2,2
42761547.0,Rental unit in BROOKLYN · ★4.84 · 1 bedroom · 2 beds · 1 bath,312697286,Steven,Brooklyn,Gravesend,40.5992,-73.9745,Entire home/apt,106.0,5,73,2024-01-30,1.72,3,315,16,Exempt,2,3
8299030.0,Home in Brooklyn · ★4.59 · 1 bedroom · 1 bed · 0 baths,1182180,"Isaac, Linda & Noelia",Brooklyn,Sunset Park,40.6498,-74.00204,Private room,50.0,30,32,2024-01-19,0.31,4,244,7,,1,4
46991303.0,Home in Staten Island · ★4.62 · 1 bedroom · 1 bed · 1 private bath,379883703,Desmond,Staten Island,Port Richmond,40.63164,-74.13201,Private room,100.0,1,61,2024-01-01,1.92,1,279,19,OSE-STRREG-0000558,1,5
8.36e+17,Condo in New York · ★5.0 · 2 bedrooms · 2 beds · 1 bath,8736641,Nelson,Manhattan,Harlem,40.82123,-73.95126,Entire home/apt,163.0,3,14,2024-01-03,1.76,1,20,14,OSE-STRREG-0000074,2,6
8.86e+17,Home in Brooklyn · ★4.98 · 2 bedrooms · 3 beds · 1 bath,238730320,Travis,Brooklyn,South Slope,40.6606056,-73.9843229,Entire home/apt,300.0,2,46,2024-01-28,5.17,1,120,46,OSE-STRREG-0000288,2,7
50594529.0,Home in Queens · ★4.66 · 1 bedroom · 1 bed · 1 bath,18679866,David,Queens,Arverne,40.59326553,-73.79311371,Entire home/apt,64.0,30,44,2024-01-07,1.49,3,365,19,,2,8
47467110.0,Rental unit in Brooklyn · ★4.28 · 2 bedrooms · 2 beds · 1 bath,177038905,Crystal,Brooklyn,Bedford-Stuyvesant,40.68482,-73.9361,Entire home/apt,95.0,30,40,2024-01-06,1.15,4,179,4,,2,9
30182137.0,Condo in New York · ★4.86 · 1 bedroom · 1 bed · 1 bath,61391963,Stay With Vibe,Manhattan,Upper East Side,40.77364,-73.95701,Entire home/apt,111.0,30,14,2024-01-15,0.23,130,310,3,,2,10
41012815.0,Rental unit in Brooklyn · ★4.93 · 2 bedrooms · 3 beds · 1 bath,78643953,Daniel,Brooklyn,Bushwick,40.69025,-73.91424,Entire home/apt,115.0,30,84,2024-01-27,1.68,4,365,28,,2,11
33061311.0,Rental unit in New York · ★4.94 · 1 bedroom · 2 beds · 1 bath,7289570,Shelley,Brooklyn,Bedford-Stuyvesant,40.68272,-73.91957,Entire home/apt,193.0,4,216,2024-02-01,3.67,2,49,45,Exempt,2,9
48445362.0,Home in The Bronx · ★5.0 · 1 bedroom · 1 bed · 1.5 shared baths,15617507,Glicerda,Bronx,Morris Park,40.85025,-73.86273,Private room,31.0,30,21,2024-01-01,0.6,7,126,4,,1,12
35901159.0,Boutique hotel in New York · ★4.57 · 1 bedroom · 1 bed · 1 private bath,268362077,Nolitan,Manhattan,Little Italy,40.71965,-73.99644,Private room,223.0,1,138,2024-01-07,3.3,3,353,34,Exempt,1,13
9.74e+17,Townhouse in New York · ★4.58 · 3 bedrooms · 3 beds · 1 bath,535500187,Lisa,Manhattan,Harlem,40.8065536,-73.9568022,Entire home/apt,257.0,2,19,2024-02-01,4.22,4,233,19,Exempt,2,6
13674349.0,Rental unit in Brooklyn  · ★4.95 · 1 bedroom · 2 beds · 1 bath,62028227,Frances,Brooklyn,Bedford-Stuyvesant,40.68001,-73.95644,Entire home/apt,120.0,30,96,2024-01-07,1.05,2,299,6,,2,9
2435198.0,Rental unit in Bronx · ★4.93 · 1 bedroom · 1 bed · 1.5 shared baths,12446529,Migdalia,Bronx,Soundview,40.82414,-73.8596,Private room,45.0,30,56,2024-01-18,0.71,2,132,5,,1,14
49273047.0,Rental unit in Brooklyn · ★4.91 · 1 bedroom · 2 beds · 2 baths,103747506,Rebecca,Brooklyn,Crown Heights,40.67751,-73.93743,Entire home/apt,259.0,30,23,2024-01-11,2.56,4,361,23,,2,15
35149452.0,Hotel in Brooklyn · ★4.69 · 1 bedroom · 1 bed · 1 private bath,262224408,NU Hotel,Brooklyn,Downtown Brooklyn,40.69767,-73.98696,Private room,314.0,1,13,2024-01-01,0.3,7,325,1,Exempt,1,16
5.98e+17,Rental unit in New York · ★4.74 · Studio · 3 beds · 1 bath,388603242,Henri,Manhattan,Midtown,40.747211,-73.987808,Entire home/apt,169.0,1,84,2024-01-22,5.31,13,149,78,Exempt,2,17
